track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
affection,BETWEEN FRIENDS,0,0.273,0.565,2,-7.283,1,0.248,0.516,1.68e-06,0.0855,0.298,179.518
Affection,Scruffpuppie,49,0.372,0.231,7,-10.817,1,0.0314,0.898,0.0,0.129,0.0899,99.142
Agape,Nicholas Britell,69,0.153,0.162,10,-19.61,1,0.0429,0.884,0.943,0.111,0.0584,68.734
Alien Boy,Oliver Tree,0,0.802,0.599,1,-5.169,1,0.0997,0.112,0.0,0.236,0.484,130.108
ALIEN RAVE,MOONBOY,13,0.675,0.955,0,-0.324,1,0.14,0.0588,0.0174,0.348,0.694,150.064
Alive!,Bakar,60,0.75,0.736,8,-5.405,0,0.0307,0.517,1.23e-05,0.0866,0.579,97.032
All Eyes On Me,Conro,44,0.761,0.644,7,-6.765,1,0.0409,0.0532,0.00146,0.0838,0.444,111.993
All For Us - from the HBO Original Series Euphoria,Labrinth,74,0.348,0.652,3,-7.145,1,0.0931,0.0165,0.000264,0.33,0.172,70.956
All I Got,Said The Sky,11,0.326,0.578,2,-6.786,1,0.0455,0.158,0.00479,0.575,0.102,144.731
All I Need,Lord's Child,48,0.409,0.297,8,-14.89,0,0.255,0.539,0.0696,0.114,0.0598,168.059
All In My Head (feat. grandson),Whethan,40,0.747,0.932,9,-4.671,0,0.157,0.0225,0.0126,0.176,0.937,147.042
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,72,0.681,0.521,0,-5.849,1,0.141,0.12,8.41e-05,0.108,0.181,94.997
All Night,The Vamps,72,0.538,0.804,8,-5.194,1,0.0358,0.0041,0.0,0.33,0.507,144.992
All Night (feat. Knox Fortune),Chance the Rapper,67,0.704,0.777,2,-5.729,1,0.195,0.0358,0.0,0.151,0.392,111.921
All Night Longer,Sammy Adams,60,0.712,0.649,1,-4.753,1,0.063,0.000652,0.0,0.0683,0.616,127.028
All The Faces,Creed Bratton,45,0.623,0.138,2,-20.568,1,0.0321,0.7,1.62e-06,0.111,0.434,104.07
All the Time,Souly Had,45,0.589,0.313,0,-10.001,1,0.137,0.322,0.0,0.105,0.0905,164.573
All Time Low,Jon Bellion,67,0.617,0.567,0,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.246
All You Need To Know (feat. Calle Lehmann),Gryffin,56,0.513,0.788,0,-4.629,1,0.0364,0.00968,0.0,0.11,0.234,139.987
Almost Fantasy,Fog Lake,58,0.374,0.115,4,-21.533,1,0.0384,0.635,0.84,0.11,0.296,75.864
ALRIGHT,Ashes To Amber,63,0.621,0.412,11,-14.724,1,0.0495,0.779,0.111,0.119,0.262,171.884
Alrighty Aphrodite,Peach Pit,70,0.534,0.724,6,-4.675,0,0.0495,0.00605,0.0929,0.108,0.503,81.846
Always,Daniel Caesar,84,0.603,0.441,9,-8.178,1,0.0518,0.692,1.46e-06,0.105,0.167,136.137
American Boy,Estelle,7,0.727,0.729,0,-2.99,1,0.326,0.171,0.0,0.07,0.512,117.932
American Boyfriend,Kevin Abstract,48,0.463,0.698,1,-4.456,1,0.0368,0.0215,4.65e-06,0.238,0.351,93.072
American Money,BØRNS,67,0.542,0.867,6,-5.26,0,0.0813,0.0226,0.00347,0.116,0.326,134.984
American Teen,Khalid,65,0.658,0.623,0,-6.934,1,0.0398,0.0683,0.0,0.321,0.207,100.436
Am I a Good Man,Them Two,0,0.255,0.731,3,-4.879,0,0.0426,0.152,0.00996,0.218,0.805,176.561
angel,Odunsi (The Engine),27,0.76,0.111,10,-19.362,1,0.044,0.229,0.00119,0.129,0.433,92.014
Animals,Coast Modern,24,0.597,0.924,9,-4.076,1,0.0432,0.00208,7.84e-05,0.15,0.881,121.034
Another Day in Paradise,Quinn XCII,0,0.652,0.802,11,-5.308,1,0.0669,0.161,0.0,0.143,0.559,167.952
Answering Machine,Ruby Haunt,67,0.582,0.27,9,-16.129,1,0.0336,0.829,0.864,0.936,0.0398,119.923
Antidote,Orion Sun,65,0.645,0.786,1,-3.995,1,0.188,0.173,0.0,0.137,0.452,81.917
Anymore,YAZ,48,0.632,0.765,4,-6.451,1,0.0814,0.094,0.00278,0.0865,0.705,78.842
The Apartment,Foreign Air,0,0.551,0.637,7,-6.644,0,0.0376,0.124,0.000488,0.196,0.469,170.099
Are You Bored Yet? (feat. Clairo),Wallows,83,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023
Are You Gonna Be My Girl,Jet,78,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046
are you ok?,dandelion hands,28,0.307,0.0449,5,-23.24,1,0.0528,0.959,0.904,0.101,0.0721,74.275
Arms Tonite,Mother Mother,73,0.687,0.646,4,-3.841,1,0.039,0.0973,0.000593,0.161,0.323,139.978
An Art Gallery Could Never Be as Magnificent as You,Scruffpuppie,47,0.412,0.112,5,-17.385,0,0.0411,0.897,0.0359,0.14,0.276,106.113
As It Was,Harry Styles,59,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
As the World Caves In,Matt Maltese,73,0.331,0.45,10,-5.362,1,0.034,0.365,0.00464,0.22,0.18,123.829
As the World Caves In - Album Mix,Matt Maltese,0,0.377,0.45,10,-7.785,1,0.0307,0.525,0.171,0.139,0.208,124.877
At a Moment's Notice,benches,21,0.476,0.73,3,-4.821,1,0.0366,0.000305,0.000108,0.289,0.551,139.422
Atlanta Girls,Trash Panda,47,0.66,0.582,7,-7.769,1,0.0602,0.499,0.000603,0.257,0.402,117.902
Australia,Attic Abasement,0,0.472,0.348,4,-11.273,1,0.0421,0.528,0.035,0.245,0.527,129.577
Avocado,The Obsessives,47,0.499,0.373,9,-5.182,1,0.053,0.00503,2.38e-05,0.0261,0.742,166.277
Awaken,Big Wild,60,0.493,0.344,2,-8.876,1,0.0381,0.752,0.000499,0.303,0.119,139.994
Baba,Aminé,38,0.911,0.58,11,-6.661,0,0.122,0.16,0.0,0.0848,0.6,113.123
Babatunde - VIP,PEEKABOO,33,0.629,0.869,1,-2.006,1,0.0515,0.00173,4.1e-05,0.128,0.0795,144.986
Baby Baby,Noizu,60,0.627,0.948,7,-4.478,1,0.0428,0.00354,0.551,0.0599,0.569,125.048
Baby Baby,Sports,58,0.762,0.672,11,-5.358,1,0.0346,0.111,0.807,0.0461,0.841,76.496
Baby Blue,Tor Miller,0,0.392,0.397,7,-5.863,0,0.0269,0.362,0.0,0.221,0.316,75.493
Babydoll,Dominic Fike,84,0.762,0.604,7,-5.296,0,0.11,0.114,0.0,0.0271,0.847,168.007
Baby Girl,Disco Lines,76,0.73,0.907,2,-3.72,1,0.0606,0.0921,0.114,0.23,0.249,120.968
Baby You're Worth It,Kina,0,0.695,0.253,2,-15.884,1,0.0461,0.685,0.14,0.105,0.264,120.033
BACK AND FORTH,SEBASTIAN PAUL,53,0.583,0.697,3,-7.047,1,0.0805,0.155,2.4e-06,0.147,0.56,153.956
Backseat Freestyle,Kendrick Lamar,69,0.546,0.651,1,-7.601,1,0.3,0.000739,0.0,0.235,0.646,77.878
Back Then,B Story,33,0.485,0.562,0,-6.446,1,0.03,0.0544,0.0108,0.151,0.489,170.204
Backyard Boy,Claire Rosinkranz,0,0.819,0.642,5,-7.037,1,0.189,0.336,0.0,0.0735,0.452,138.026
Bad and Boujee (feat. Lil Uzi Vert),Migos,6,0.926,0.666,11,-5.314,1,0.244,0.0611,0.0,0.123,0.168,127.079
bad day,sammy rash,44,0.775,0.303,5,-8.131,1,0.401,0.696,0.0,0.0992,0.879,181.997
BALD!,JPEGMAFIA,40,0.594,0.917,10,-2.382,1,0.3,0.0372,0.0,0.495,0.675,154.703
Balkan Boy,Hector Gachan,36,0.632,0.705,11,-5.777,1,0.268,0.664,0.00769,0.168,0.842,91.912
Ballin,Sikdope,47,0.724,0.913,10,-6.04,0,0.0564,0.0914,0.0103,0.105,0.584,130.075
Basically,STRFKR,53,0.71,0.536,6,-12.403,1,0.0451,0.225,0.688,0.0658,0.581,120.011
basking in the glow,Oso Oso,37,0.395,0.844,10,-4.347,0,0.0667,0.0272,0.0,0.0692,0.545,151.427
Batshit,Dominic Fike,53,0.805,0.594,7,-8.635,0,0.348,0.552,2.59e-06,0.151,0.422,134.011
Beach In Hawaii,Ziggy Marley,0,0.807,0.458,9,-9.594,0,0.0361,0.211,9.01e-06,0.0839,0.874,100.959
Beachside,Bazanji,45,0.711,0.69,5,-4.948,0,0.0579,0.0627,0.0,0.263,0.194,77.179
Behemoth VIP,SVDDEN DEATH,54,0.849,0.878,10,-0.072,0,0.33,0.0799,0.567,0.0302,0.564,139.879
Beige,Terrace Martin,60,0.773,0.579,8,-10.109,1,0.0862,0.297,0.00954,0.0607,0.555,170.04
Beige,Yoke Lore,75,0.434,0.677,10,-7.535,1,0.119,0.384,0.0684,0.119,0.218,167.923
Beige (unburdened),Yoke Lore,0,0.377,0.296,10,-9.815,1,0.0902,0.826,1.05e-05,0.093,0.243,80.13
Being Dead Is Still Better than Being Me,sharkkymarky,35,0.362,0.238,0,-9.766,1,0.0272,0.905,0.0471,0.358,0.0721,81.332
Beings,Madeon,46,0.457,0.723,5,-3.595,1,0.0518,0.0815,7.31e-05,0.797,0.278,106.017
Bellboy,CURB,9,0.396,0.834,2,-10.562,1,0.104,0.000107,0.846,0.889,0.315,143.962
Be Mine,Amandla Stenberg,42,0.781,0.396,0,-11.661,1,0.0732,0.687,0.014,0.0761,0.518,127.073
Be My Mistake,The 1975,71,0.572,0.155,6,-14.405,1,0.0344,0.835,0.000137,0.0906,0.0949,109.923
beside you,keshi,75,0.711,0.747,0,-6.335,1,0.0523,0.459,0.0,0.0957,0.852,136.0
Besidju,shamana,55,0.747,0.413,5,-15.392,0,0.409,0.635,0.000792,0.123,0.221,105.053
Best Day Ever,Mac Miller,1,0.223,0.572,9,-4.531,1,0.0461,0.0401,0.0,0.216,0.0681,175.028
Best Day Of My Life - Gazzo Remix,American Authors,56,0.632,0.964,11,-1.555,0,0.0819,0.0117,0.0014,0.225,0.402,124.997
Best Friend,Rex Orange County,2,0.575,0.714,6,-5.247,1,0.0596,0.395,0.0,0.115,0.32,144.982
Best I Can (feat. Sharon Van Etten),Michael Cera,36,0.577,0.767,11,-7.171,0,0.0398,0.522,0.193,0.715,0.295,109.127
BEST INTEREST,"Tyler, The Creator",82,0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265
Best Part (feat. H.E.R.),Daniel Caesar,86,0.524,0.364,7,-10.209,1,0.0367,0.808,0.0,0.1,0.436,75.24
Better,sign crushes motorist,73,0.696,0.0867,7,-25.203,1,0.0418,0.988,0.922,0.108,0.349,129.989
Better Not (with Wafia),Louis The Child,64,0.783,0.537,9,-2.921,1,0.0795,0.278,0.0,0.229,0.393,113.988
Better Off Alone,Kai Wachi,47,0.536,0.782,2,-3.164,0,0.0539,0.0498,0.00914,0.0773,0.183,150.131
Big Jet Plane,Angus & Julia Stone,72,0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.274,109.959
Biking,Frank Ocean,70,0.673,0.463,2,-7.247,1,0.191,0.681,4.9e-06,0.0907,0.268,147.981
bird,Blue Smiley,22,0.467,0.788,8,-8.892,1,0.0528,0.0251,0.937,0.0634,0.509,125.679
Birthday 32,Yotam Perel,18,0.795,0.245,8,-12.207,1,0.0813,0.589,0.0,0.113,0.357,123.869
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,68,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954
Black Beatles,Rae Sremmurd,77,0.794,0.632,0,-6.163,1,0.0649,0.142,0.0,0.128,0.355,145.926
Black Hole,PEEKABOO,0,0.716,0.692,6,-4.362,1,0.0833,0.00537,0.271,0.574,0.04,139.968
Black Skinhead,Kanye West,76,0.766,0.809,1,-6.123,1,0.279,0.0011,0.0,0.168,0.325,130.127
Blame,Zeds Dead,47,0.605,0.759,9,-5.946,0,0.092,0.228,0.000381,0.0913,0.478,139.989
Bleed,SVDDEN DEATH,49,0.596,0.969,8,-0.262,1,0.503,0.211,0.00441,0.284,0.369,139.752
"Blonde Hair, Black Lungs",Sorority Noise,58,0.314,0.602,5,-6.264,1,0.0448,0.000442,0.0,0.136,0.37,114.185
Bloodbath (feat. Chino Moreno),Polyphia,50,0.6,0.817,4,-4.636,0,0.0488,0.000794,0.00321,0.462,0.322,117.029
Blood // Water,grandson,70,0.504,0.891,6,-5.632,0,0.137,0.00163,0.00199,0.148,0.628,153.988
Blood // Water - King Kavalier Remix,grandson,61,0.586,0.813,8,-6.357,0,0.0804,0.0494,5.54e-06,0.0939,0.655,149.812
Bloom,ODESZA,59,0.555,0.585,2,-6.672,1,0.0272,0.0149,0.86,0.0707,0.0803,130.004
Bloom - Bonus Track,The Paper Kites,80,0.591,0.416,1,-9.794,1,0.0246,0.882,0.000641,0.112,0.415,96.003
Bloom Later,Jesse®,59,0.513,0.318,0,-10.451,1,0.0314,0.796,0.0,0.177,0.249,81.923
Blossom,Milky Chance,48,0.75,0.676,4,-6.651,1,0.0281,0.0295,3.15e-05,0.0749,0.851,119.99
"BLOW MY LOAD (feat. Wanya Morris, Dâm-Funk, Austin Feinstein & Sydney Bennett)","Tyler, The Creator",55,0.397,0.701,1,-7.328,1,0.0737,0.0127,0.000207,0.749,0.179,74.518
Blue Skies,Noah And The Whale,51,0.546,0.627,0,-7.947,1,0.0285,0.244,0.0894,0.147,0.38,88.069
Body,Loud Luxury,80,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958
Bodybag,chloe moriondo,53,0.783,0.461,9,-4.658,1,0.0363,0.0223,3.74e-05,0.0928,0.683,112.98
Body Pump - Lady Bee Remix,Aluna,60,0.667,0.927,10,-6.183,0,0.0489,0.00265,0.103,0.108,0.544,122.997
Bonfire,Childish Gambino,0,0.508,0.763,1,-5.674,1,0.303,0.0627,0.0,0.347,0.275,161.59
Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator",71,0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938
Bossfight Afterparty,Virtual Riot,32,0.442,0.896,2,-2.009,1,0.0675,0.00356,0.642,0.212,0.527,105.005
Boston,Moose Blood,40,0.403,0.915,2,-5.765,1,0.062,0.000169,0.0,0.358,0.432,160.047
Both (feat. Drake),Gucci Mane,70,0.85,0.405,7,-7.509,0,0.225,0.119,0.000118,0.0707,0.344,139.976
Bounce Back,Big Sean,71,0.78,0.575,1,-5.628,0,0.139,0.106,0.0,0.129,0.273,81.502
'Bout It (feat. Daniel James & Benjamin O),Jeremy Zucker,40,0.892,0.619,10,-5.728,1,0.0968,0.21,0.0,0.0818,0.92,130.983
Boys Of Faith (feat. Bon Iver),Zach Bryan,73,0.302,0.584,1,-6.242,1,0.063,0.385,5.22e-05,0.089,0.159,199.804
Boys Will Be Bugs,Cavetown,0,0.608,0.528,1,-11.722,1,0.0338,0.00387,1.4e-05,0.106,0.454,89.221
Brazil,Declan McKenna,61,0.689,0.617,4,-5.196,1,0.029,0.0918,2.08e-05,0.0816,0.682,121.062
Break from Toronto,PARTYNEXTDOOR,87,0.595,0.678,9,-5.18,1,0.0335,0.0199,0.00389,0.418,0.259,117.067
brighter days,San Holo,0,0.604,0.533,0,-6.741,1,0.0851,0.398,0.0,0.124,0.255,128.064
Broad Shoulders (feat. Chance the Rapper),Taylor Bennett,46,0.6,0.524,0,-9.297,1,0.146,0.822,3.29e-05,0.104,0.449,127.5
Broccoli,DRAM,62,0.886,0.525,8,-7.39,1,0.132,0.236,0.0,0.057,0.708,145.99
broken - Cash Cash Remix,lovelytheband,46,0.497,0.747,11,-3.112,0,0.0894,0.0259,0.0,0.0697,0.355,140.81
Broken Record (Louis the Child Remix) [feat. Joni Fatora],SoySauce,34,0.826,0.449,8,-4.855,1,0.216,0.0809,0.00925,0.0628,0.726,90.047
Broken Whiskey Glass,Post Malone,41,0.428,0.673,0,-7.359,1,0.0522,0.288,3.04e-06,0.126,0.107,99.905
Bruise,BETWEEN FRIENDS,40,0.683,0.433,6,-8.029,1,0.0963,0.33,0.0,0.0965,0.534,103.498
Bruises,Lewis Capaldi,83,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202
brutal,Olivia Rodrigo,81,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999
Bubble Gum,Clairo,81,0.509,0.0167,9,-24.639,1,0.115,0.979,2.72e-05,0.387,0.229,207.97
BUBBLE TEA,dark cat,55,0.753,0.671,2,-7.393,1,0.0507,0.184,0.0746,0.445,0.667,159.971
Bummer Summer,Charmer,0,0.334,0.488,0,-9.35,1,0.0506,0.358,1.03e-05,0.0913,0.131,156.415
Bumpy Teeth,Zeds Dead,39,0.751,0.851,11,-3.882,0,0.293,0.0468,0.171,0.307,0.413,139.993
Burfi,Samsa,0,0.768,0.678,1,-10.336,1,0.374,0.301,0.0,0.026,0.678,119.919
BURN IT DOWN,Kayzo,38,0.563,0.988,1,0.047,1,0.152,0.00235,0.00386,0.244,0.142,127.931
Burn the House Down,AJR,0,0.454,0.66,0,-4.357,1,0.168,0.0364,0.0,0.181,0.568,184.353
Butterfly,UMI,60,0.785,0.27,5,-14.457,1,0.0892,0.255,0.00132,0.0953,0.12,131.894
BWU,San Holo,0,0.576,0.551,11,-7.895,1,0.237,0.012,0.00301,0.0752,0.324,76.46
BZZRK - Jkyl & Hyde Remix,AFK,0,0.694,0.928,0,-3.021,1,0.412,0.00772,0.758,0.0781,0.221,170.114
Cali,TroyBoi,0,0.836,0.676,1,-4.115,1,0.0935,0.00341,0.677,0.0665,0.474,85.033
California,Clayton James Official,26,0.826,0.283,8,-9.567,1,0.0811,0.442,0.0,0.0999,0.492,66.507
California,Roy Blair,28,0.595,0.319,8,-10.39,1,0.033,0.261,0.0,0.137,0.286,119.931
Call Me,Elevator Fight Club,42,0.441,0.862,0,-7.987,1,0.0721,0.115,0.00418,0.31,0.587,157.342
Call U Tomorrow,Montell Fish,64,0.379,0.291,8,-12.529,1,0.0334,0.913,0.0159,0.0961,0.167,107.97
Can I Have a Ride Home? I'm at a Party and I Don't Know Any1,carpetgarden,0,0.769,0.155,2,-9.368,1,0.125,0.981,0.0,0.262,0.547,107.611
Can't Be Love,WHALES•TALK,38,0.598,0.642,4,-8.06,1,0.0483,0.122,0.0,0.132,0.485,126.109
CAN'T GET OVER YOU (feat. Clams Casino),Joji,70,0.9,0.316,9,-8.797,1,0.332,0.684,0.0771,0.0853,0.844,129.914
Can't Hide,Whethan,51,0.61,0.69,2,-2.656,0,0.0911,0.0422,6.62e-05,0.166,0.318,179.944
Can't Hold Me Down,GRiZ,47,0.541,0.933,9,-4.862,1,0.12,0.00259,0.000523,0.136,0.144,89.981
Can't Wait,Yuni Wa,43,0.895,0.47,8,-6.032,0,0.204,0.033,0.0538,0.229,0.81,129.01
Canyon Moon,Harry Styles,69,0.603,0.621,2,-7.14,1,0.0267,0.328,3.49e-05,0.119,0.7,94.022
Carcassonne,Angelo De Augustine,34,0.569,0.0319,7,-25.212,1,0.0524,0.994,0.925,0.106,0.375,72.308
"Carnival of the Animals, R. 125: The Swan",Camille Saint-Saëns,63,0.211,0.00756,7,-33.123,1,0.0455,0.994,0.89,0.0734,0.0391,118.247
Caroline,Aminé,0,0.945,0.394,10,-8.571,1,0.492,0.303,0.0,0.131,0.743,120.058
Cash Machine,DRAM,45,0.745,0.669,9,-3.613,1,0.129,0.522,0.0,0.154,0.699,143.164
Catalina Fight Song,Joyce Manor,61,0.453,0.964,11,-1.41,1,0.0968,0.00385,0.0,0.103,0.349,107.655
Cemetery,COIN,0,0.652,0.8,9,-7.37,1,0.0313,0.124,1.87e-05,0.121,0.933,126.985
Chains,Aaron May,65,0.964,0.376,0,-5.996,1,0.328,0.462,1.59e-06,0.102,0.68,122.112
Chaise Longue,Wet Leg,64,0.684,0.749,7,-6.565,1,0.06,0.00135,0.111,0.141,0.935,160.021
Champagne and Pools (feat. Blackbear & Kyle),Hoodie Allen,55,0.61,0.641,9,-4.352,0,0.268,0.519,0.0,0.902,0.852,67.413
Champagne Coast,Blood Orange,58,0.813,0.406,9,-12.626,1,0.0662,0.0203,0.392,0.0757,0.755,122.658
Chandelier,Will Paquin,75,0.333,0.498,2,-9.121,0,0.0468,0.674,6.51e-06,0.12,0.427,87.082
Change,Alex G,0,0.668,0.314,9,-14.966,0,0.0479,0.961,0.78,0.108,0.322,92.39
Changing of the Seasons,Two Door Cinema Club,0,0.544,0.865,2,-4.644,1,0.137,5.18e-05,0.00029,0.116,0.593,130.014
Charcoal Baby,Blood Orange,66,0.622,0.46,7,-8.389,0,0.0372,0.14,0.000369,0.119,0.514,183.241
Chase It,WRLD,42,0.702,0.832,1,-2.564,1,0.0521,0.0113,1e-05,0.175,0.479,110.028
Chasing Tail (Madnap Remix),Win and Woo,45,0.574,0.723,0,-4.963,0,0.0384,0.112,1.5e-05,0.119,0.189,79.863
Cherry,Harry Styles,74,0.53,0.512,7,-9.261,1,0.0259,0.615,0.00453,0.129,0.411,95.946
Cherry Flavoured,The Neighbourhood,67,0.617,0.574,6,-9.768,1,0.0276,0.23,0.0105,0.0983,0.396,91.769
Cherry Waves,Deftones,78,0.47,0.859,2,-3.663,1,0.0537,0.000362,0.00691,0.142,0.17,124.01
Cherry Wine - Live,Hozier,71,0.415,0.11,1,-14.901,1,0.0388,0.951,0.00236,0.0962,0.234,81.876
Chicken Tenders,Dominic Fike,60,0.746,0.741,11,-5.459,1,0.0567,0.268,0.0,0.644,0.72,119.983
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,77,0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034
Choking on Flowers,Fox Academy,63,0.175,0.594,1,-11.803,0,0.0422,0.967,0.914,0.167,0.284,84.222
Chop Suey!,System Of A Down,86,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066
Chum,Earl Sweatshirt,62,0.51,0.503,10,-8.756,0,0.242,0.0216,0.002,0.108,0.193,153.582
Cigarette Daydreams,Cage The Elephant,81,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98
Cigarettes On Patios,BabyJake,64,0.752,0.712,4,-5.467,0,0.0474,0.256,0.0,0.136,0.588,139.999
Cinema - Skrillex Remix,Benny Benassi,62,0.637,0.985,6,-3.809,0,0.184,0.00988,0.00857,0.0649,0.374,145.111
Cinnamon Girl,Lana Del Rey,85,0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781
Circles,Will Paquin,52,0.428,0.659,9,-7.913,0,0.0372,0.12,0.0,0.515,0.204,124.782
City of Stars,王OK,50,0.697,0.0633,0,-19.108,0,0.043,0.955,0.000889,0.27,0.293,91.812
The City (with Quinn XCII),Louis The Child,48,0.531,0.675,0,-3.281,1,0.33,0.121,0.0,0.327,0.799,177.953
Clair De Lune,Claude Debussy,61,0.202,0.129,1,-18.237,1,0.0411,0.855,0.00243,0.104,0.0793,86.741
"Clair de Lune, L. 32",Claude Debussy,70,0.335,0.00532,1,-31.646,1,0.0376,0.994,0.912,0.0621,0.0397,65.832
Clarity,Zedd,77,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0
Clay Pigeons,Michael Cera,71,0.292,0.241,6,-17.001,1,0.0428,0.97,0.00989,0.105,0.441,172.175
Clocks,Coldplay,52,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97
Closer,Tegan and Sara,60,0.588,0.751,0,-7.588,1,0.0328,0.00174,6.57e-05,0.353,0.52,136.979
Clouded,Brent Faiyaz,86,0.583,0.344,2,-8.765,1,0.0559,0.774,0.0,0.143,0.581,65.203
Clouds,BUNT.,72,0.7,0.748,9,-8.16,0,0.0771,0.226,0.796,0.104,0.154,130.056
Coaster,Khalid,71,0.441,0.219,8,-14.586,1,0.0419,0.935,0.0,0.115,0.244,94.021
Cocaine,Sleepwalkers,35,0.655,0.899,11,-4.869,0,0.0476,0.0202,0.186,0.394,0.828,101.503
